어떠/B_XRI	어떠/XR
돌아간다는/B_VVII+B_NYI_ETMI	돌아가/VV + ㄴ다는/ETM
시찰/B_NNGI	시찰/NNG
브라질행/B_NNGIII	브라질행/NNG
열어제쳤/B_VVIII+EP	열어제치/VV + 었/EP
시금털털/B_XRIII	시금털털/XR
신체/B_NNGI	신체/NNG
제품/B_NNGI	제품/NNG
가로수/B_NNGII	가로수/NNG
남부대일학원/B_NNPIIIII	남부대일학원/NNP
억제/B_NNGI	억제/NNG
날아다니/B_VVIII	날아다니/VV
엑세스/B_NNGII	엑세스/NNG
들어섰/B_VVI+EP	들어서/VV + 었/EP
탄생/B_NNGI	탄생/NNG
화질/B_NNGI	화질/NNG
샐러드/B_NNGII	샐러드/NNG
일/B_NNP	일/NNP
아이스바/B_NNGIII	아이스바/NNG
화보/B_NNGI	화보/NNG
티셔츠/B_NNGII	티셔츠/NNG
민간요법/B_NNGIII	민간요법/NNG
정도/B_NNGI	정도/NNG
끌어당긴다/B_VVI+B_NYI_EF	끌/VV + 어/EC + 당기/VV + ㄴ다/EC
백우/B_NNPI	백우/NNP
아닙니다/B_VCNI+B_NYI_EFI	아니/VCN + ㅂ니다/EF
대신/B_NNGI	대신/NNG
데워/B_VVI+EC	데우/VV + 어/EC
처치실/B_NNGII	처치실/NNG
야/B_EC	야/EC
야/B_EF	야/EF
준다는/B_VX+B_NYI_ETMI	주/VX + ㄴ다는/ETM
반백/B_NNGI	반백/NNG
신음/B_NNGI	신음/NNG
후문/B_NNGI	후문/NNG
검색/B_NNGI	검색/NNG
흠/B_NNG	흠/NNG
싫/B_VA	싫/VA
놀이터/B_NNGII	놀이터/NNG
기입장/B_NNGII	기입장/NNG
살려/B_VVI+EC	살리/VV + 어/EC
영원/B_NNGI	영원/NNG
봉창/B_NNGI	봉창/NNG
번쩍/B_MAGI	번쩍/MAG
높일/B_VVI+ETM	높이/VV + ㄹ/ETM
침/B_NNG	침/NNG
크리스마스트리/B_NNGIIIIII	크리스마스트리/NNG
소수/B_NNGI	소수/NNG
라는/B_ETMI	라는/ETM
삼켰/B_VVI+EP	삼키/VV + 었/EP
사주/B_NNGI	사주/NNG
빤히/B_MAGI	빤히/MAG
피해/B_NNGI	피해/NNG
악센트/B_NNGII	악센트/NNG
곤/B_EC+JX	고/EC + 는/JX
가/B_XSN	가/XSN
분명/B_MAGI	분명/MAG
싸이클/B_NNGII	싸이클/NNG
꿈꾸/B_VVI	꿈꾸/VV
3191/B_SNIII	3191/SN
검사법/B_NNGII	검사법/NNG
지면서/B_VXI_ECI	지/VX
뱉/B_VV	뱉/VV
저수지/B_NNGII	저수지/NNG
들쑤셔도/B_VVII+ECI	들쑤시/VV + 어도/EC
또한/B_MAGI	또한/MAG
아니까/B_VV+B_NYI_ECI	알/VV + 니까/EC
손상/B_NNGI	손상/NNG
천지/B_NNGI	천지/NNG
용어/B_NNGI	용어/NNG
알려졌/B_VVI+ECB_VX+EP	알리/VV + 어/EC + 지/VX + 었/EP
농협/B_NNPI	농협/NNP
사업체/B_NNGII	사업체/NNG
지/B_EP+EF	하/VV + 았/EP
세상에/B_ICII	세상에/IC
사례/B_NNGI	사례/NNG
학습/B_NNGI	학습/NNG
~/B_SO	~/SO
4273/B_SNIII	4273/SN
최대/B_NNGI	최대/NNG
적십자/B_NNGII	적십자/NNG
KBS/B_SLII	KBS/SL
말씨/B_NNGI	말씨/NNG
짬/B_NNG	짬/NNG
덤비/B_VVI	덤비/VV
특수/B_NNGI	특수/NNG
야/B_IC	야/IC
작업실/B_NNGII	작업실/NNG
응수/B_NNGI	응수/NNG
따돌리/B_VVII	따돌리/VV
이래/B_NNBI	이래/NNB
섬뜩/B_MAGI	섬뜩/MAG
다공포/B_NNGII	다공포/NNG
벼르/B_VVI	벼르/VV
적발/B_NNGI	적발/NNG
고층/B_NNGI	고층/NNG
살/B_VV	살/VV
보/B_EC+VX	아/EC + 보/VX
들어올/B_VVII+ETM	들어오/VV + ㄹ/ETM
확립/B_NNGI	확립/NNG
문성근/B_NNPII	문성근/NNP
주선/B_NNGI	주선/NNG
주말/B_NNGI	주말/NNG
서울대/B_NNPII	서울대/NNP
전쟁/B_NNGI	전쟁/NNG
한다니/B_XSV+B_NYI_EFI	하/XSV + ㄴ다니/EF
지방/B_NNGI	지방/NNG
굴절력/B_NNGII	굴절력/NNG
배관공/B_NNGII	배관공/NNG
확산/B_NNGI	확산/NNG
뒤흔들/B_VVII+ETM	뒤흔들/VV + ㄹ/ETM
칭송/B_NNGI	칭송/NNG
변소/B_NNGI	변소/NNG
라반/B_NNPI	라반/NNP
그늘진/B_VVII+ETM	그늘지/VV + ㄴ/ETM
얘/B_NP	얘/NP
에스엠/B_NNPII	에스엠/NNP
필설/B_NNGI	필설/NNG
수제비/B_NNGII	수제비/NNG
심란/B_XRI	심란/XR
뛰어가/B_VVII	뛰어가/VV
왔었/B_VV+EPI	오/VV + 았었/EP
넘어가/B_VVII	넘어가/VV
라디오/B_NNGII	라디오/NNG
썬글라스/B_NNGIII	썬글라스/NNG
전철/B_NNGI	전철/NNG
손수건/B_NNGII	손수건/NNG
생긴/B_VVI+ETM	생기/VV + ㄴ/ETM
인/B_VCP+ETM	이/VCP + ㄴ/ETM
실은/B_MAGI	실은/MAG
허니문/B_NNGII	허니문/NNG
화신/B_NNGI	화신/NNG
내걸/B_VVI	내걸/VV
잡식/B_NNGI	잡식/NNG
출마/B_NNGI	출마/NNG
범죄/B_NNGI	범죄/NNG
옛이야기/B_NNGIII	옛이야기/NNG
지/B_VCP+EC	이/VCP + 지/EC
내면/B_NNGI	내면/NNG
지/B_VCP+EF	이/VCP + 지/EF
계절/B_NNGI	계절/NNG
좁/B_VA	좁/VA
이뤄져/B_VVII+EC	이루어지/VV + 어/EC
되/B_VV	되/VV
우시/B_VV+B_NYI_EP	울/VV + 시/EP
찡그렸/B_VVII+EP	찡그리/VV + 었/EP
댓가/B_NNGI	댓가/NNG
간이링/B_NNGII	간이링/NNG
잔주름/B_NNGII	잔주름/NNG
칩시다/B_VV+EFII	치/VV + ㅂ시다/EF
시킬/B_XSVI+ETM	시키/XSV + ㄹ/ETM
한동안/B_NNGII	한동안/NNG
전문대/B_NNGII	전문대/NNG
대여료/B_NNGII	대여료/NNG
베이질향/B_NNGIII	베이질향/NNG
소곤거렸/B_VVIII+EP	소곤거리/VV + 었/EP
드물/B_VAI	드물/VA
다뤘/B_VVI+EP	다루/VV + 었/EP
왜소/B_XRI	왜소/XR
확률/B_NNGI	확률/NNG
복직/B_NNGI	복직/NNG
벗기/B_VVI	벗기/VV
올리/B_VVI	올리/VV
스위트룸/B_NNGIII	스위트룸/NNG
다던데/B_ECII	다던데/EC
보디가드/B_NNGIII	보디가드/NNG
빠뜨릴/B_VVII+ETM	빠뜨리/VV + ㄹ/ETM
빼앗기/B_VVII	빼앗기/VV
천성/B_NNGI	천성/NNG
사는지/B_VV+B_NYI_ECI	살/VV + 는지/EC
노인/B_NNGI	노인/NNG
구제/B_NNGI	구제/NNG
일관/B_NNGI	일관/NNG
건/B_VV+ETM	걸/VV + ㄴ/ETM
까지나/B_JXII	까지/JX
자전거/B_NNGII	자전거/NNG
여기자/B_NNGII	여기자/NNG
요즘/B_NNGI	요즘/NNG
인근/B_NNGI	인근/NNG
잇따르/B_VVII	잇따르/VV
사라졌/B_VVI+EP	사라지/VV + 었/EP
물어봐/B_VVII_EC	물어보/VV
총무청/B_NNGII	총무청/NNG
인문/B_NNGI	인문/NNG
암면/B_NNGI	암면/NNG
화끈거리/B_VVIII	화끈거리/VV
남한산국민학교/B_NNPIIIIII	남한산국민학교/NNP
회원/B_NNGI	회원/NNG
일어난다/B_VVII+B_NYI_EF	일어나/VV + ㄴ다/EF
100/B_SNII	100/SN
오기/B_NNGI	오기/NNG
윤숙자/B_NNPII	윤숙자/NNP
은데/B_ECI	은데/EC
걷/B_VV	걷/VV
떠오르/B_VVII	떠오르/VV
물줄기/B_NNGII	물줄기/NNG
고뇌/B_NNGI	고뇌/NNG
굳이/B_MAGI	굳이/MAG
쏘아보/B_VVII	쏘아보/VV
쏠렸/B_VVI+EP	쏠리/VV + 었/EP
훼손/B_NNGI	훼손/NNG
판결/B_NNGI	판결/NNG
전부/B_NNGI	전부/NNG
떼야/B_VV+ECI	떼/VV + 어야/EC
예상/B_NNGI	예상/NNG
마스터/B_NNGII	마스터/NNG
회장단/B_NNGII	회장단/NNG
본다는/B_VV+ETMII	보/VV + ㄴ다는/ETM
추슬러야/B_VVII_VV+ECI	추스르/VV + 어야/EC
가계/B_NNGI	가계/NNG
찌르/B_VVI	찌르/VV
대비/B_NNGI	대비/NNG
곤/B_EC	곤/EC
더웠/B_VA+B_NYI_EP	덥/VA + 었/EP
정명훈/B_NNPII	정명훈/NNP
서두/B_NNGI	서두/NNG
설/B_VV+ETM	서/VV + ㄹ/ETM
퇴락/B_NNGI	퇴락/NNG
신민/B_NNGI	신민/NNG
습성/B_NNGI	습성/NNG
차마/B_MAGI	차마/MAG
순탄/B_XRI	순탄/XR
발사/B_NNGI	발사/NNG
0/B_SN	0/SN
무상/B_NNGI	무상/NNG
입양/B_NNGI	입양/NNG
개척/B_NNGI	개척/NNG
하여튼/B_MAGII	하여튼/MAG
노약자/B_NNGII	노약자/NNG
타켓/B_NNGI	타켓/NNG
다칠/B_VVI+ETM	다치/VV + ㄹ/ETM
쌓인/B_VVI+ETM	쌓이/VV + ㄴ/ETM
잊어버릴/B_VVIII+ETM	잊어버리/VV + ㄹ/ETM
쓸데없/B_VAII	쓸데없/VA
낯설/B_VAI	낯설/VA
전화기/B_NNGII	전화기/NNG
생산/B_NNGI	생산/NNG
기/B_VV+ETN	하/VV + 기/ETN
건너편/B_NNGII	건너편/NNG
의사소통/B_NNGIII	의사소통/NNG
산딸기/B_NNGII	산딸기/NNG
딛/B_VV	딛/VV
이걸로/B_NPI+B_NYI_JKB	이것/NP + ㄹ로/JKB
어/B_EC	어/EC
어/B_EF	어/EF
실력/B_NNGI	실력/NNG
쌍용그룹/B_NNPIII	쌍용그룹/NNP
실제/B_NNGI	실제/NNG
홱/B_MAG	홱/MAG
싸운/B_VVI+ETM	싸우/VV + ㄴ/ETM
적어졌/B_VVII+EP	적어지/VV + 었/EP
표준/B_NNGI	표준/NNG
바이오/B_NNGII	바이오/NNG
교장/B_NNGI	교장/NNG
판이/B_XRI	판이/XR
소리/B_NNGI	소리/NNG
추억/B_NNGI	추억/NNG
으면/B_ECI	으면/EC
15/B_SNI	15/SN
만날게/B_VVI+B_NYI_EC	만나/VV + 게/EC
갖은/B_MMI	갖은/MM
아름다움/B_VAII+B_NYI_ETN	아름답/VA + ㅁ/ETN
엄밀히/B_MAGII	엄밀히/MAG
그분/B_NPI	그분/NP
박지원/B_NNPII	박지원/NNP
우선/B_MAGI	우선/MAG
빚/B_NNG	빚/NNG
새우/B_NNGI	새우/NNG
은데/B_EFI	은데/EF
시학/B_NNGI	시학/NNG
쑤셔/B_VVI+EC	쑤시/VV + 어/EC
물어/B_VV+B_NYI_EC	묻/VV + 어/EC
디자이너/B_NNGIII	디자이너/NNG
말투/B_NNGI	말투/NNG
새빨개졌/B_VVIII+EP	새빨개지/VV + 었/EP
농장/B_NNGI	농장/NNG
된대/B_VV+EFI	되/VV + ㄴ대/EF
성격/B_NNGI	성격/NNG
개월/B_NNBI	개월/NNB
신호/B_NNGI	신호/NNG
번져/B_VVI+EC	번지/VV + 어/EC
토스터/B_NNGII	토스터/NNG
토하/B_VVI	토하/VV
거기/B_NPI	거기/NP
향해/B_VVI+EC	향하/VV + 아/EC
널려/B_VVI+EC	널리/VV + 어/EC
소희/B_NNPI	소희/NNP
굳어진/B_VVII+ETM	굳어지/VV + ㄴ/ETM
해봐/B_VVI+EF	해보/VV + 아/EF
촛대/B_NNGI	촛대/NNG
머리싸움/B_NNGIII	머리싸움/NNG
화재/B_NNGI	화재/NNG
가중/B_NNGI	가중/NNG
평교사/B_NNGII	평교사/NNG
꼽혀/B_VVI+EC	꼽히/VV + 어/EC
증식/B_NNGI	증식/NNG
쫓기/B_VVI	쫓기/VV
은제/B_NNGI	은제/NNG
피부/B_NNGI	피부/NNG
피해/B_VVI_EC	피하/VV
뒤적이/B_VVII	뒤적이/VV
도대체/B_MAGII	도대체/MAG
리라/B_EFI	리라/EF
병뚜껑/B_NNGII	병뚜껑/NNG
불변/B_NNGI	불변/NNG
육성법/B_NNGII	육성법/NNG
어두운/B_VAI+B_NYI_ETM	어둡/VA + ㄴ/ETM
플로리다/B_NNPIII	플로리다/NNP
흰/B_VA+ETM	희/VA + ㄴ/ETM
여러/B_MMI	여러/MM
첼로/B_NNGI	첼로/NNG
훌륭/B_XRI	훌륭/XR
널린/B_VVI+ETM	널리/VV + ㄴ/ETM
악성/B_NNGI	악성/NNG
필자/B_NNGI	필자/NNG
갔/B_VV+EP	가/VV + 았/EP
원조/B_NNGI	원조/NNG
널찍/B_XRI	널찍/XR
될/B_XSA+ETM	되/XSA + ㄹ/ETM
되살아나/B_VVIII	되살아나/VV
측면/B_NNGI	측면/NNG
발병/B_NNGI	발병/NNG
기업체/B_NNGII	기업체/NNG
팔/B_VV	팔/VV
토니/B_NNPI	토니/NNP
임명/B_NNGI	임명/NNG
소재관/B_NNGII	소재관/NNG
논거/B_NNGI	논거/NNG
되/B_EC	되/EC
통과/B_NNGI	통과/NNG
인데도/B_VCP+B_NYI_ECI	이/VCP + ㄴ데도/EC
양수렬/B_NNPII	양수렬/NNP
부퍼탈/B_NNPII	부퍼탈/NNP
마셨/B_VVI+EP	마시/VV + 었/EP
나팔/B_NNGI	나팔/NNG
일부러/B_MAGII	일부러/MAG
부도난/B_VVII+ETM	부도나/VV + ㄴ/ETM
발레단/B_NNGII	발레단/NNG
단정/B_XRI	단정/XR
느냐는/B_ETMII	느냐는/ETM
지랄/B_NNGI	지랄/NNG
자유/B_NNGI	자유/NNG
김남식/B_NNPII	김남식/NNP
꺼리/B_VVI	꺼리/VV
허용돼서/B_NNGII+ECI	허용/NNG + 되/XSV
주/B_NNG	주/NNG
봉사/B_NNGI	봉사/NNG
고친/B_VVI+ETM	고치/VV + ㄴ/ETM
공개/B_NNGI	공개/NNG
내세우/B_VVII	내세우/VV
질겅질겅/B_MAGIII	질겅질겅/MAG
주/B_NNB	주/NNB
뻗치/B_VVI	뻗치/VV
여성상/B_NNGII	여성상/NNG
따질/B_VVI+ETM	따지/VV + ㄹ/ETM
다투/B_VVI	다투/VV
깨나/B_JXI	깨나/JX
리라/B_ECI	리라/EC
기복/B_NNGI	기복/NNG
색상/B_NNGI	색상/NNG
쓰러졌/B_VVII+EP	쓰러지/VV + 었/EP
솟구쳤/B_VVII+EP	솟구치/VV + 었/EP
잖니/B_EFI	잖니/EF
수천만/B_NRII	수천만/NR
님치레/B_XSNII	님/XSN
갑상선/B_NNGII	갑상선/NNG
송병준/B_NNPII	송병준/NNP
천연/B_NNGI	천연/NNG
전원/B_NNGI	전원/NNG
야단/B_NNGI	야단/NNG
엄선/B_NNGI	엄선/NNG
도자기/B_NNGII	도자기/NNG
배꼽춤/B_NNGII	배꼽춤/NNG
투시도/B_NNGII	투시도/NNG
베이비씨터/B_NNGIIII	베이비씨터/NNG
측우기/B_NNGII	측우기/NNG
지급/B_NNGI	지급/NNG
전/B_MM	전/MM
탐구/B_NNGI	탐구/NNG
곤/B_XR	곤/XR
일개/B_NNGI	일개/NNG
춤출/B_VVI+ETM	춤추/VV + ㄹ/ETM
거짓/B_NNGI	거짓/NNG
영업/B_NNGI	영업/NNG
L/B_SL	L/SL
플랜/B_NNGI	플랜/NNG
52/B_SNI	52/SN
화로/B_NNGI	화로/NNG
진단법/B_NNGII	진단법/NNG
의리/B_NNGI	의리/NNG
뜨거운/B_VAI+B_NYI_ETM	뜨겁/VA + ㄴ/ETM
국한/B_NNGI	국한/NNG
영웅/B_NNGI	영웅/NNG
예복/B_NNGI	예복/NNG
고수부지/B_NNGIII	고수부지/NNG
의한/B_VVI+ETM	의하/VV + ㄴ/ETM
눈길/B_NNGI	눈길/NNG
숏/B_NNG	숏/NNG
태평/B_NNGI	태평/NNG
알몸/B_NNGI	알몸/NNG
인터뷰/B_NNGII	인터뷰/NNG
부닥친/B_VVII+ETM	부닥치/VV + ㄴ/ETM
간다면/B_VX+B_NYI_ECI	가/VX + ㄴ다면/EC
가리켜/B_VVII+EC	가리키/VV + 어/EC
급성장/B_NNGII	급성장/NNG
설비/B_NNGI	설비/NNG
평균/B_NNGI	평균/NNG
등골/B_NNGI	등골/NNG
누구/B_NPI	누구/NP
못/B_NNG	못/NNG
낼/B_VV+ETM	내/VV + ㄹ/ETM
증언/B_NNGI	증언/NNG
애초/B_NNGI	애초/NNG
기여/B_NNGI	기여/NNG
견딜/B_VVI+ETM	견디/VV + ㄹ/ETM
후발/B_NNGI	후발/NNG
핀/B_NNG	핀/NNG
누관/B_NNGI	누관/NNG
산/B_XSN	산/XSN
떡/B_NNG	떡/NNG
쪼그맣/B_VAII	쪼그맣/VA
쓴/B_VV+ETM	쓰/VV + ㄴ/ETM
총무처/B_NNGII	총무처/NNG
옷장/B_NNGI	옷장/NNG
총리/B_NNGI	총리/NNG
개회식/B_NNGII	개회식/NNG
방/B_NNG	방/NNG
박혀/B_VVI+EC	박히/VV + 어/EC
한숨/B_NNGI	한숨/NNG
실감/B_NNGI	실감/NNG
언덕바지/B_NNGIII	언덕바지/NNG
천억/B_NRI	천억/NR
여원/B_NNPI	여원/NNP
경쟁심/B_NNGII	경쟁심/NNG
스런/B_XSAI+ETM	스럽/XSA + ㄴ/ETM
용돈/B_NNGI	용돈/NNG
라야/B_ECI	라야/EC
광채/B_NNGI	광채/NNG
여/B_EC	아/EC
갱년기/B_NNGII	갱년기/NNG
오후/B_NNGI	오후/NNG
도맡/B_VVI	도맡/VV
이용/B_NNGI	이용/NNG
최근/B_NNGI	최근/NNG
계기/B_NNGI	계기/NNG
쇠퇴기/B_NNGII	쇠퇴기/NNG
경부고속도로/B_NNPIIIII	경부고속도로/NNP
갈/B_VX+ETM	가/VX + ㄹ/ETM
일어서/B_VVII	일어서/VV
사이렌/B_NNPII	사이렌/NNP
54/B_SNI	54/SN
깨닫/B_VVI	깨닫/VV
으러/B_ECI	으러/EC
즉/B_MAG	즉/MAG
경계/B_NNGI	경계/NNG
어린애/B_NNGII	어린애/NNG
성/B_NNG	성/NNG
故/B_SH	故/SH
콧날/B_NNGI	콧날/NNG
데리/B_VVI	데리/VV
칸막이/B_NNGII	칸막이/NNG
상당히/B_MAGII	상당히/MAG
노시/B_VV+B_NYI_EP	놀/VV + 시/EP
유색인/B_NNGII	유색인/NNG
서킷/B_NNGI	서킷/NNG
로군/B_VCP+B_NYI_EF	이/VCP + 로군/EF
함수/B_NNGI	함수/NNG
벌리/B_VVI	벌리/VV
즐거워/B_VAI+B_NYI_EC	즐겁/VA + 어/EC
난다니까/B_VV+EFIII	나/VV + ㄴ다니까/EF
조율/B_NNGI	조율/NNG
말한다/B_NNGB_XSV+B_NYI_EF	말/NNG + 하/XSV + ㄴ다/EC
남세/B_NNGI	남세/NNG
감염/B_NNGI	감염/NNG
일제히/B_MAGII	일제히/MAG
드러나/B_VVII	드러나/VV
을/B_ETM	을/ETM
상비/B_NNGI	상비/NNG
환호성/B_NNGII	환호성/NNG
양재동/B_NNPII	양재동/NNP
돌발/B_NNGI	돌발/NNG
발휘/B_NNGI	발휘/NNG
두리번거리/B_VVIIII	두리번거리/VV
수준급/B_NNGII	수준급/NNG
모태/B_NNGI	모태/NNG
들려준다고/B_VVII+B_NYI_ECI	들려주/VV + ㄴ다고/EC
처치/B_NNGI	처치/NNG
인력난/B_NNGII	인력난/NNG
이전/B_NNGI	이전/NNG
불어넣/B_VVII	불어넣/VV
독립기념관/B_NNPIIII	독립기념관/NNP
상승/B_NNGI	상승/NNG
짜증/B_NNGI	짜증/NNG
붐/B_NNG	붐/NNG
간편/B_XRI	간편/XR
관혼상제/B_NNGIII	관혼상제/NNG
임금/B_NNGI	임금/NNG
질리/B_VVI	질리/VV
쫓아다니/B_VVIII	쫓아다니/VV
대구불교학생회/B_NNPIIIIII	대구불교학생회/NNP
말버릇/B_NNGII	말버릇/NNG
서두를/B_VVII+ETM	서두르/VV + ㄹ/ETM
지목/B_NNGI	지목/NNG
배웠/B_VVI+EP	배우/VV + 었/EP
도저히/B_MAGII	도저히/MAG
예능/B_NNGI	예능/NNG
근정전/B_NNPII	근정전/NNP
관광/B_NNGI	관광/NNG
기능/B_NNGI	기능/NNG
라더니/B_VCP+B_NYI_ECI	이/VCP + 라더니/EC
대전대/B_NNPII	대전대/NNP
맥시/B_NNGI	맥시/NNG
착각/B_NNGI	착각/NNG
벌였/B_VVI+EP	벌이/VV + 었/EP
인생/B_NNGI	인생/NNG
배신감/B_NNGII	배신감/NNG
조달/B_NNGI	조달/NNG
경악/B_NNGI	경악/NNG
바통/B_NNGI	바통/NNG
단편/B_NNGI	단편/NNG
투명/B_NNGI	투명/NNG
초보자/B_NNGII	초보자/NNG
어둡/B_VAI	어둡/VA
막/B_NNG	막/NNG
뒤섞여/B_VVII+EC	뒤섞이/VV + 어/EC
33/B_SNI	33/SN
지구관/B_NNGII	지구관/NNG
데뷔/B_NNGI	데뷔/NNG
구나/B_EFI	구나/EF
듯이/B_ECI	듯이/EC
참여/B_NNGI	참여/NNG
동원/B_NNGI	동원/NNG
결단력/B_NNGII	결단력/NNG
떠넘기/B_VVII	떠넘기/VV
툴툴거리/B_VVIII	툴툴거리/VV
투쟁/B_NNGI	투쟁/NNG
번거로움/B_VAII+B_NYI_ETN	번거롭/VA + ㅁ/ETN
녹음테이프/B_NNGIIII	녹음테이프/NNG
노오란/B_VAII+ETM	노오랗/VA + ㄴ/ETM
구나/B_ECI	구나/EC
놓쳤/B_VVI+EP	놓치/VV + 었/EP
하고/B_JKQI	하고/JKQ
지대/B_XRI	지대/XR
대산면/B_NNPII	대산면/NNP
광장동/B_NNPII	광장동/NNP
됐/B_VV+EP	되/VV + 었/EP
하층민/B_NNGII	하층민/NNG
누적/B_NNGI	누적/NNG
목/B_NNG	목/NNG
얼마/B_NNGI	얼마/NNG
삼익악기/B_NNPIII	삼익악기/NNP
택지/B_NNGI	택지/NNG
십시오/B_EP+B_NYI_EFI	시/EP + ㅂ시오/EF
UNICEF/B_SLIIIII	UNICEF/SL
사포닌/B_NNGII	사포닌/NNG
밝/B_VA	밝/VA
절/B_NNG	절/NNG
인원수/B_NNGII	인원수/NNG
기피/B_NNGI	기피/NNG
마늘/B_NNGI	마늘/NNG
죽인/B_VVI+ETM	죽이/VV + ㄴ/ETM
파고드는/B_VVII+B_NYI_ETM	파고들/VV + 는/ETM
앞당겨/B_VVII+EC	앞당기/VV + 어/EC
끊어질까/B_VVII+B_NYI_EC	끊어지/VV + ㄹ까/EC
기계/B_NNGI	기계/NNG
대해선/B_VVI_ECI+JX	대하/VV + 아서/EC
석/B_NNB	석/NNB
상담/B_NNGI	상담/NNG
다독거려/B_VVIII+EC	다독거리/VV + 어/EC
언론/B_NNGI	언론/NNG
무궁무진/B_NNGIII	무궁무진/NNG
뜻밖/B_NNGI	뜻밖/NNG
권하/B_VVI	권하/VV
일차/B_NNGI	일차/NNG
말끔/B_XRI	말끔/XR
차린/B_VVI+ETM	차리/VV + ㄴ/ETM
지름/B_NNGI	지름/NNG
한다니/B_VV+ECII	하/VV + ㄴ다니/EC
만도/B_JXI	만/JX
컵/B_NNG	컵/NNG
사진기/B_NNGII	사진기/NNG
요새/B_NNGI	요새/NNG
사업비/B_NNGII	사업비/NNG
덮여/B_VVI+EC	덮이/VV + 어/EC
성적/B_NNGI	성적/NNG
세율/B_NNGI	세율/NNG
맞장구/B_NNGII	맞장구/NNG
책임/B_NNGI	책임/NNG
호호/B_MAGI	호호/MAG
미끄러져/B_VVIII+EC	미끄러지/VV + 어/EC
유입/B_NNGI	유입/NNG
철골/B_NNGI	철골/NNG
공약/B_NNGI	공약/NNG
종교/B_NNGI	종교/NNG
안내/B_NNGI	안내/NNG
건데…/B_NNB+B_NYI_VCPI+SE	 것/NNB + 이/VCP + ㄴ데/EC + …/SE
프린트/B_NNGII	프린트/NNG
골자/B_NNGI	골자/NNG
굼뜬/B_VAI+ETM	굼뜨/VA + ㄴ/ETM
남긴/B_VVI+ETM	남기/VV + ㄴ/ETM
욕지기/B_NNGII	욕지기/NNG
올려다보/B_VVIII	올려다보/VV
봐요/B_VX+EFI	보/VX + 아요/EF
혼인/B_NNGI	혼인/NNG
두/B_VV	두/VV
두/B_VX	두/VX
이루어질/B_VVIII+ETM	이루어지/VV + ㄹ/ETM
꺼져/B_VVI+EC	꺼지/VV + 어/EC
입력/B_NNGI	입력/NNG
초고추장/B_NNGIII	초고추장/NNG
관람객/B_NNGII	관람객/NNG
망/B_NNG	망/NNG
와서/B_VV+ECI	오/VV + 아서/EC
지분/B_NNGI	지분/NNG
돌아섰/B_VVII+EP	돌아서/VV + 었/EP
관행/B_NNGI	관행/NNG
수익금/B_NNGII	수익금/NNG
조금/B_MAGI	조금/MAG
박완서/B_NNPII	박완서/NNP
더라구요/B_EFIII	더라구요/EF
아예/B_MAGI	아예/MAG
권한/B_NNGI	권한/NNG
한산/B_XRI	한산/XR
그리운/B_VAI+B_NYI_ETM	그립/VA + ㄴ/ETM
라도/B_JXI	라도/JX
영국/B_NNPI	영국/NNP
뒷면/B_NNGI	뒷면/NNG
항진/B_NNGI	항진/NNG
저리/B_NNGI	저리/NNG
조개/B_NNGI	조개/NNG
알아맞히/B_VVIII	알아맞히/VV
협찬금/B_NNGII	협찬금/NNG
격파/B_NNGI	격파/NNG
합판/B_NNGI	합판/NNG
빌릴게요/B_VVI+B_NYI_EFI	빌리/VV + ㄹ게요/EF
아냐/B_ICI	아냐/IC
쇼윈도/B_NNGII	쇼윈도/NNG
다면/B_ECI	다면/EC
고쳐/B_VVI+EC	고치/VV + 어/EC
나눠/B_VVI+EC	나누/VV + 어/EC
참다못해/B_VVIII+EC	참다못하/VV + 아/EC
과자/B_NNGI	과자/NNG
던지/B_EFI	던지/EF
태국/B_NNPI	태국/NNP
였다/B_VCP+B_NYI+EF	이/VCP +  었/EP
에요/B_EFI	에요/EF
인도네시아/B_NNPIIII	인도네시아/NNP
카드/B_NNGI	카드/NNG
최후/B_NNGI	최후/NNG
보/B_VV	보/VV
재개/B_NNGI	재개/NNG
명동성당/B_NNPIII	명동성당/NNP
덕/B_NNG	덕/NNG
보/B_VX	보/VX
반팔/B_NNGI	반팔/NNG
습관/B_NNGI	습관/NNG
뭉치/B_NNGI	뭉치/NNG
지정/B_NNGI	지정/NNG
레이건/B_NNPII	레이건/NNP
어/B_VX+EP	보/VX + 았/EP
마르틴/B_NNPII	마르틴/NNP
미놀타/B_NNPII	미놀타/NNP
삶/B_NNG	삶/NNG
펑퍼짐/B_XRII	펑퍼짐/XR
날리/B_VVI	날리/VV
행보/B_NNGI	행보/NNG
막스/B_NNPI	막스/NNP
이유/B_NNGI	이유/NNG
장/B_NNG	장/NNG
촘촘/B_XRI	촘촘/XR
꼼짝없이/B_MAGIII	꼼짝없이/MAG
장/B_NNP	장/NNP
우량계/B_NNGII	우량계/NNG
철렁/B_MAGI	철렁/MAG
몸가짐/B_NNGII	몸가짐/NNG
입힐/B_VVI+ETM	입히/VV + ㄹ/ETM
따라갔/B_VVII+EP	따라가/VV + 았/EP
절정/B_NNGI	절정/NNG
교실/B_NNGI	교실/NNG
장/B_NNB	장/NNB
됩니다/B_VV+EFII	되/VV + ㅂ니다/EF
홍보/B_NNGI	홍보/NNG
난감/B_XRI	난감/XR
별로/B_MAGI	별로/MAG
달갑/B_VAI	달갑/VA
따라/B_VVI_EC	따르/VV
